Name,body Shape,dress size,Breasts-Waist-Hips(m),Shoe/Feet,Bra size,Cup size,Height(m),Weight(kg),Natural breasts or implants?

Sara Bareilles, Banana , 2 ,2.134-1.549-2.184, 8, 34A, A,1.65,49, Natural 

Danielle Bradbery, Banana , 4 ,2.184-1.549-2.261, 7, 34B, B,1.68,55, Natural 

Shirley Jones, Hourglass , 4 ,2.261-1.486-2.261, 7.5, 34C, C,1.65,57, Natural 

Kelsi Taylor, Banana , 4 ,2.184-1.524-2.261, 7, 34B, B,1.68,54, Natural 

Trisha Yearwood, Hourglass , 10,2.464-1.88-2.464, 7.5, 36D, D,1.73,72, Natural 

Cardi B, Hourglass , 10,2.388-1.626-2.464, 7.5, 34DD , DD / E,1.68,62, Implants 

Terri Clark, Hourglass , 10,2.388-1.753-2.388, 8.5, 36C, C,1.79,68, Natural 

Scarlett Pomers, Hourglass , 6,2.261-1.524-2.261, 7, 34C, C,1.6,55, Natural 

Lauren Alaina, Hourglass , 10,2.388-1.676-2.464, 10, 36C, C,1.68,66, Natural 

Kacey Musgraves, Banana , 4,2.184-1.549-2.261, 8, 34B, B,1.65,56, Natural 

Sara Bareilles, Banana , 2 ,2.134-1.549-2.184, 8, 34A, A,1.65,49, Natural 

Danielle Bradbery, Banana , 4 ,2.184-1.549-2.261, 7, 34B, B,1.68,55, Natural 

Shirley Jones, Hourglass , 4 ,2.261-1.486-2.261, 7.5, 34C, C,1.65,57, Natural 

Kelsi Taylor, Banana , 4 ,2.184-1.524-2.261, 7, 34B, B,1.68,54, Natural 

Trisha Yearwood, Hourglass , 10,2.464-1.88-2.464, 7.5, 36D, D,1.73,72, Natural 

Cardi B, Hourglass , 10,2.388-1.626-2.464, 7.5, 34DD , DD / E,1.68,62, Implants 

Terri Clark, Hourglass , 10,2.388-1.753-2.388, 8.5, 36C, C,1.79,68, Natural 

Scarlett Pomers, Hourglass , 6,2.261-1.524-2.261, 7, 34C, C,1.6,55, Natural 

Lauren Alaina, Hourglass , 10,2.388-1.676-2.464, 10, 36C, C,1.68,66, Natural 

Kacey Musgraves, Banana , 4,2.184-1.549-2.261, 8, 34B, B,1.65,56, Natural 

AJ Michalka, Banana , 6,2.261-1.524-2.184, 7.5, 34C , C,1.6,56, Implants

Elle King, Apple , 12,2.464-2.007-2.591, 7, 36D, D,1.68,80, Natural 

Debbie Gibson, Banana , 4,2.184-1.524-2.261, 8, 34B, B,1.68,52, Natural 

Justine Skye, Hourglass , 4,2.184-1.549-2.311, 8, 34B, B,1.75,57, Natural 

Jessie James Decker, Hourglass , 6,2.311-1.626-2.311, 8, 34C, C,1.55,54, Natural 

Sarah Harding, Hourglass , 6 ,2.311-1.549-2.311, 8.5, 34C, C,1.7,58, Natural 

